,Unnamed: 0,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExteriorQ,ExteriorC,BasementQ,BasementC,BasementEx,Basement1,BsmtFinSF1,Basement2,BsmtFinSF2,BsmtUnfSF,Heating,LowQualFinSF,GrLivArea,FullBath,HalfBath,Kitchen,TotRmsAbvGrd,Function,Fireplaces,FireplaceQ,Garage,GarageYrBlt,GarageCars,GarageArea,GarageQ,GarageC,WoodDeckSF,PoolArea,Pool,FenceType,MiscVal,SalePrice,HouseAge,Porch,TotalSF
311,311,50.0,8000,6,6,1948,0.0,3,4,3.0,3.0,1.0,5.0,680,1.0,0,292,5,0,972,2,0,3,5,8,1,4.0,1.0,1948.0,1,240,3.0,3.0,0,0,0.0,0.0,0,132000,63,0,1944
312,312,65.0,7800,5,7,1939,0.0,3,3,4.0,3.0,2.0,3.0,507,1.0,0,286,3,0,1118,2,0,3,5,8,1,4.0,1.0,1939.0,2,410,3.0,3.0,0,0,3.0,3.0,0,119900,72,1,1911
313,313,150.0,215245,7,5,1965,0.0,3,3,4.0,3.0,4.0,5.0,1236,3.0,820,80,3,0,2036,4,0,3,8,8,2,4.0,1.0,1965.0,2,513,3.0,3.0,0,0,0.0,0.0,0,375000,46,0,4172
314,314,60.0,9600,7,7,1925,0.0,3,3,3.0,4.0,1.0,2.0,16,1.0,0,712,5,0,1641,1,2,5,6,8,1,4.0,1.0,1925.0,2,546,2.0,3.0,0,0,0.0,0.0,0,178000,86,1,2369
315,315,71.0,7795,7,5,2004,0.0,4,3,4.0,3.0,1.0,6.0,425,1.0,0,291,5,0,1432,3,1,4,6,8,1,4.0,1.0,2004.0,2,432,3.0,3.0,100,0,0.0,0.0,0,188500,7,1,2148
316,316,94.0,13005,7,7,1980,278.0,4,3,4.0,3.0,1.0,6.0,692,1.0,0,153,3,0,2353,3,1,5,10,8,1,3.0,1.0,1983.0,2,484,3.0,3.0,288,0,4.0,4.0,0,260000,31,1,3198
317,317,75.0,9000,8,5,2006,0.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,1088,5,0,1959,2,1,4,8,8,1,4.0,1.0,2006.0,3,1025,3.0,3.0,208,0,0.0,0.0,0,270000,5,1,3047
318,318,90.0,9900,7,5,1993,256.0,4,3,4.0,3.0,4.0,6.0,987,1.0,0,360,5,0,2646,3,1,4,9,8,1,3.0,1.0,1993.0,3,656,3.0,3.0,340,0,0.0,0.0,0,260000,18,1,3993
319,319,69.0,14115,7,5,1980,225.0,3,3,4.0,3.0,3.0,6.0,1036,1.0,0,336,3,0,1472,3,0,3,6,8,2,3.0,1.0,1980.0,2,588,3.0,3.0,233,0,0.0,0.0,0,187500,31,1,2844
320,320,111.0,16259,9,5,2006,370.0,3,3,5.0,4.0,3.0,1.0,0,1.0,0,1249,5,0,2596,3,1,4,9,8,0,4.0,1.0,2006.0,3,840,3.0,3.0,240,0,0.0,0.0,0,342643,5,1,3845
321,321,99.0,12099,8,5,2004,388.0,4,3,5.0,3.0,3.0,6.0,970,1.0,0,166,5,0,2468,3,1,4,10,8,1,4.0,3.0,2004.0,3,872,3.0,3.0,184,0,0.0,0.0,0,354000,7,1,3604
322,322,86.0,10380,7,5,1986,172.0,4,3,3.0,3.0,4.0,2.0,28,5.0,1474,0,5,0,2730,3,1,4,8,8,1,3.0,1.0,1987.0,2,576,3.0,3.0,201,0,3.0,3.0,0,301000,25,1,4232
323,323,49.0,5820,3,8,1955,0.0,3,4,3.0,3.0,1.0,5.0,256,1.0,0,906,5,0,1163,2,0,3,6,8,0,4.0,1.0,1955.0,1,220,2.0,3.0,142,0,0.0,0.0,0,126175,56,1,2325
324,324,96.0,11275,7,7,1967,300.0,4,4,4.0,3.0,1.0,1.0,0,1.0,0,710,5,0,2978,2,1,4,11,8,1,4.0,3.0,1961.0,2,564,3.0,3.0,240,0,0.0,0.0,0,242000,44,0,3688
325,325,50.0,5000,5,6,1941,0.0,3,3,3.0,3.0,3.0,4.0,116,1.0,0,604,1,0,803,1,0,3,5,8,0,4.0,1.0,1941.0,2,360,3.0,3.0,0,0,0.0,0.0,0,87000,70,1,1523
326,326,32.0,10846,8,5,1993,0.0,4,3,4.0,3.0,4.0,6.0,1619,1.0,0,100,5,0,1719,3,1,4,6,8,2,4.0,1.0,1993.0,2,473,3.0,3.0,122,0,0.0,0.0,0,324000,18,1,3438
327,327,80.0,11600,6,5,1960,175.0,3,3,3.0,3.0,1.0,3.0,565,1.0,0,818,3,0,1383,1,1,3,7,8,0,4.0,1.0,1960.0,1,292,3.0,3.0,0,0,0.0,0.0,0,145250,51,1,2766
328,328,69.0,11888,6,6,1916,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,844,4,0,2134,2,0,4,10,8,0,4.0,1.0,1930.0,2,441,3.0,3.0,0,0,0.0,0.0,0,214500,95,1,2978
329,329,60.0,6402,5,5,1920,0.0,3,3,3.0,3.0,2.0,1.0,0,1.0,0,596,3,0,1192,1,0,3,6,8,0,4.0,1.0,1920.0,1,189,2.0,2.0,0,0,2.0,2.0,0,78000,91,1,1788
330,330,69.0,10624,5,4,1964,84.0,3,3,3.0,3.0,1.0,6.0,40,3.0,264,1424,3,0,1728,2,1,3,10,8,0,4.0,1.0,2002.0,1,352,3.0,3.0,155,0,0.0,0.0,0,119000,47,0,3456
331,331,70.0,8176,5,6,1958,0.0,3,3,3.0,3.0,1.0,3.0,846,1.0,0,210,2,0,1056,2,0,3,6,8,0,4.0,1.0,1958.0,1,308,3.0,3.0,0,0,0.0,0.0,0,139000,53,0,2112
332,332,85.0,10655,8,5,2003,296.0,4,3,4.0,3.0,1.0,6.0,1124,1.0,479,1603,5,0,1629,3,0,4,7,8,1,4.0,1.0,2003.0,3,880,3.0,3.0,0,0,0.0,0.0,0,284000,8,0,4835
333,333,59.0,8198,7,5,2004,146.0,4,3,4.0,3.0,3.0,6.0,720,1.0,0,638,5,0,1358,3,0,4,6,8,1,4.0,1.0,2004.0,2,484,3.0,3.0,192,0,0.0,0.0,0,207000,7,1,2716
334,334,59.0,9042,6,5,1998,0.0,3,3,4.0,3.0,4.0,6.0,828,1.0,0,115,4,0,1638,3,1,3,7,8,2,3.0,1.0,1998.0,2,472,3.0,3.0,100,0,0.0,0.0,0,192000,13,1,2581
335,335,69.0,164660,5,6,1965,0.0,3,3,3.0,3.0,4.0,5.0,1249,4.0,147,103,5,0,1786,4,0,3,7,8,2,4.0,1.0,1965.0,2,529,3.0,3.0,670,0,0.0,0.0,700,228950,46,0,3285
336,336,86.0,14157,9,5,2005,200.0,4,3,5.0,3.0,4.0,6.0,1249,1.0,0,673,5,0,1922,3,0,4,8,8,1,4.0,1.0,2005.0,3,676,3.0,3.0,178,0,0.0,0.0,0,377426,6,1,3844
337,337,70.0,9135,7,5,2002,113.0,4,3,4.0,3.0,3.0,6.0,810,1.0,0,726,5,0,1536,3,0,4,7,8,0,4.0,1.0,2002.0,2,532,3.0,3.0,192,0,0.0,0.0,0,214000,9,1,3072
338,338,91.0,14145,7,7,1984,0.0,4,3,4.0,3.0,2.0,5.0,213,1.0,0,995,5,0,1621,3,0,4,8,8,0,4.0,1.0,1984.0,2,440,3.0,3.0,108,0,0.0,0.0,400,202500,27,1,2829
339,339,66.0,12400,6,7,1958,176.0,3,3,3.0,2.0,1.0,3.0,585,1.0,0,630,3,0,1215,1,0,3,6,8,0,4.0,1.0,1958.0,1,297,3.0,3.0,0,0,0.0,0.0,0,155000,53,1,2430
340,340,85.0,14191,8,5,2002,0.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,967,5,0,1908,2,1,4,9,8,0,4.0,1.0,2002.0,2,431,3.0,3.0,135,0,0.0,0.0,0,202900,9,0,2875
341,341,60.0,8400,4,4,1950,0.0,2,2,3.0,2.0,1.0,1.0,0,1.0,0,721,4,0,841,1,0,3,4,8,0,4.0,2.0,1950.0,1,294,3.0,3.0,250,0,0.0,0.0,0,82000,61,1,1562
342,342,69.0,8544,3,4,1949,340.0,3,3,4.0,3.0,1.0,4.0,0,1.0,0,0,2,0,1040,2,0,3,6,8,0,4.0,1.0,1949.0,2,400,3.0,3.0,0,0,0.0,0.0,0,87500,62,0,1040
343,343,63.0,8849,9,5,2005,616.0,5,3,5.0,3.0,1.0,6.0,28,1.0,0,1656,5,0,1684,2,0,5,6,8,1,5.0,1.0,2005.0,2,564,3.0,3.0,495,0,0.0,0.0,0,266000,6,1,3368
344,344,36.0,2592,5,3,1976,0.0,3,3,4.0,3.0,1.0,3.0,129,4.0,232,175,3,0,1112,1,1,3,4,8,0,4.0,1.0,1976.0,1,336,3.0,3.0,182,0,0.0,0.0,0,85000,35,0,1648
345,345,65.0,6435,6,5,1939,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,972,4,0,1577,1,0,2,6,8,1,4.0,1.0,1939.0,1,312,3.0,3.0,0,0,0.0,0.0,0,140200,72,0,2549
346,346,69.0,12772,6,8,1960,0.0,3,4,3.0,3.0,2.0,4.0,498,1.0,0,460,3,0,958,1,0,3,5,8,0,4.0,1.0,1960.0,1,301,3.0,3.0,0,0,0.0,0.0,15500,151500,51,0,1916
347,347,69.0,17600,6,5,1960,30.0,3,3,3.0,3.0,1.0,4.0,1270,1.0,0,208,5,0,1478,3,0,3,6,8,2,4.0,1.0,1960.0,2,498,3.0,3.0,0,0,0.0,0.0,0,157500,51,1,2956
348,348,36.0,2448,7,5,2003,106.0,4,3,4.0,3.0,1.0,6.0,573,1.0,0,191,5,0,1626,3,1,4,6,8,0,4.0,3.0,2003.0,2,474,3.0,3.0,0,0,0.0,0.0,0,154000,8,1,2390
349,349,56.0,20431,9,5,2005,870.0,5,3,5.0,3.0,1.0,6.0,1410,1.0,0,438,5,0,2728,3,1,5,10,8,2,5.0,1.0,2006.0,3,706,3.0,3.0,0,0,0.0,0.0,0,437154,6,0,4576
350,350,68.0,7820,9,5,2007,362.0,5,3,5.0,3.0,1.0,1.0,0,1.0,0,1869,5,0,1869,2,0,5,6,8,1,4.0,1.0,2007.0,2,617,3.0,3.0,210,0,0.0,0.0,0,318061,4,1,3738
351,351,69.0,5271,7,5,1986,0.0,3,3,4.0,3.0,4.0,6.0,1082,1.0,0,371,4,0,1453,2,1,4,6,8,1,3.0,1.0,1986.0,2,445,3.0,3.0,0,0,0.0,0.0,0,190000,25,1,2906
352,352,60.0,9084,5,6,1941,0.0,3,3,3.0,2.0,2.0,2.0,236,3.0,380,0,3,0,1111,1,1,3,5,8,0,4.0,1.0,1941.0,1,200,3.0,2.0,48,0,0.0,0.0,0,95000,70,0,1727
353,353,60.0,8520,6,8,1928,0.0,3,4,3.0,3.0,1.0,1.0,0,1.0,0,624,4,0,720,1,0,3,5,8,0,4.0,1.0,2005.0,2,484,3.0,3.0,106,0,0.0,0.0,0,105900,83,0,1344
354,354,60.0,8400,6,5,1940,0.0,3,3,3.0,3.0,1.0,2.0,388,1.0,0,552,5,0,1595,1,0,3,6,8,2,4.0,1.0,1940.0,1,240,3.0,3.0,0,0,0.0,0.0,0,140000,71,1,2535
355,355,105.0,11249,6,5,1995,0.0,4,4,4.0,4.0,1.0,5.0,334,4.0,544,322,5,0,1200,3,0,4,6,8,0,4.0,1.0,1995.0,2,521,3.0,3.0,0,0,0.0,0.0,0,177500,16,1,2400
356,356,69.0,9248,6,6,1992,106.0,3,3,4.0,3.0,1.0,6.0,560,1.0,0,598,4,0,1167,3,0,4,6,8,0,4.0,1.0,1992.0,2,400,3.0,3.0,120,0,0.0,0.0,0,173000,19,1,2325
357,357,44.0,4224,5,5,1976,0.0,3,3,4.0,3.0,1.0,5.0,874,1.0,0,268,3,0,1142,2,1,3,6,8,1,1.0,1.0,1976.0,2,528,3.0,3.0,536,0,3.0,3.0,0,134000,35,1,2284
358,358,92.0,6930,5,4,1958,120.0,3,3,3.0,3.0,3.0,4.0,300,3.0,294,468,5,0,1352,1,1,4,6,6,0,4.0,3.0,1958.0,1,288,3.0,3.0,168,0,0.0,0.0,0,130000,53,1,2414
359,359,78.0,12011,8,5,1998,530.0,4,3,4.0,3.0,3.0,6.0,956,1.0,0,130,5,0,1924,3,1,4,7,8,1,3.0,1.0,1998.0,2,592,3.0,3.0,208,0,0.0,0.0,0,280000,13,1,3010
360,360,69.0,7540,6,6,1978,0.0,3,3,4.0,3.0,3.0,6.0,773,1.0,0,115,5,0,912,2,0,3,5,8,1,3.0,1.0,1978.0,2,470,3.0,3.0,0,0,3.0,3.0,0,156000,33,1,1800
361,361,69.0,9144,5,5,1940,0.0,3,3,3.0,3.0,1.0,3.0,399,1.0,0,484,4,0,1505,2,0,3,8,8,0,4.0,1.0,1940.0,1,240,3.0,3.0,0,0,0.0,0.0,0,145000,71,0,2388
362,362,64.0,7301,7,5,2003,500.0,4,3,4.0,3.0,1.0,4.0,0,1.0,0,0,5,0,1922,3,0,4,7,8,1,5.0,3.0,2003.0,2,672,3.0,3.0,0,0,0.0,0.0,0,198500,8,1,1922
363,363,21.0,1680,6,8,1972,510.0,3,3,3.0,3.0,1.0,5.0,162,1.0,0,321,4,0,987,1,1,4,5,8,0,4.0,1.0,1972.0,1,264,3.0,3.0,250,0,0.0,0.0,0,118000,39,0,1470
364,364,69.0,18800,6,5,1976,120.0,3,3,4.0,3.0,2.0,6.0,712,1.0,0,84,3,0,1574,3,1,3,6,8,1,3.0,1.0,1976.0,2,566,3.0,3.0,306,0,0.0,0.0,0,190000,35,1,2370
365,365,59.0,10690,5,7,1920,0.0,3,4,3.0,2.0,1.0,3.0,456,1.0,0,216,4,0,1344,1,0,3,6,8,0,4.0,1.0,1964.0,1,468,3.0,2.0,0,0,0.0,0.0,0,147000,91,1,2016
366,366,69.0,9500,6,5,1963,247.0,3,3,4.0,3.0,1.0,4.0,609,1.0,0,785,4,0,1394,2,1,3,6,8,2,4.0,1.0,1963.0,2,514,3.0,3.0,0,0,0.0,0.0,0,159000,48,1,2788
367,367,101.0,9150,6,5,1962,305.0,3,3,4.0,3.0,4.0,6.0,371,1.0,0,728,4,0,1431,1,1,3,6,8,1,4.0,4.0,1962.0,1,296,3.0,3.0,64,0,0.0,0.0,0,165000,49,1,2530
368,368,78.0,7800,5,6,1954,200.0,3,3,3.0,3.0,1.0,2.0,540,1.0,0,728,4,0,1268,1,0,3,7,8,1,4.0,1.0,1954.0,1,244,3.0,3.0,0,0,0.0,0.0,0,132000,57,1,2536
369,369,69.0,9830,5,7,1959,0.0,3,4,3.0,3.0,1.0,5.0,72,3.0,258,733,5,0,1287,2,0,4,7,8,1,4.0,1.0,1997.0,2,576,3.0,3.0,364,0,0.0,0.0,0,162000,52,1,2350
370,370,69.0,8121,6,5,2000,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,953,5,0,1664,2,1,3,7,8,1,3.0,1.0,2000.0,2,460,3.0,3.0,100,0,0.0,0.0,0,172400,11,1,2617
371,371,80.0,17120,4,4,1959,0.0,3,3,4.0,3.0,1.0,4.0,0,1.0,0,0,3,0,1588,2,0,3,7,6,1,4.0,1.0,1991.0,2,680,3.0,3.0,0,0,0.0,0.0,0,134432,52,1,1588
372,372,50.0,7175,6,5,1984,0.0,3,3,4.0,3.0,1.0,5.0,623,2.0,121,0,3,0,752,2,0,3,4,8,0,4.0,1.0,1984.0,1,264,3.0,3.0,353,0,3.0,3.0,0,125000,27,1,1496
373,373,79.0,10634,5,6,1953,0.0,3,3,3.0,3.0,1.0,4.0,428,2.0,180,0,3,0,1319,2,0,3,5,6,0,4.0,1.0,1953.0,1,270,3.0,3.0,66,0,2.0,2.0,0,123000,58,0,1927
374,374,65.0,8200,7,5,2003,0.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,847,5,0,1928,2,1,4,8,8,1,4.0,3.0,2003.0,2,434,3.0,3.0,100,0,0.0,0.0,0,219500,8,1,2775
375,375,69.0,10020,1,1,1922,0.0,2,2,2.0,1.0,4.0,4.0,350,1.0,0,333,4,0,904,1,1,2,4,4,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,61000,89,0,1587
376,376,57.0,8846,5,5,1996,0.0,4,3,4.0,3.0,3.0,6.0,298,1.0,0,572,5,0,914,1,0,3,5,8,0,4.0,1.0,1998.0,2,576,3.0,3.0,0,0,0.0,0.0,0,148000,15,0,1784
377,377,102.0,11143,8,5,2004,0.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1580,5,0,2466,3,0,4,8,8,1,4.0,1.0,2004.0,2,610,3.0,3.0,159,0,0.0,0.0,0,340000,7,1,4046
378,378,88.0,11394,9,2,2010,350.0,4,3,5.0,3.0,3.0,6.0,1445,1.0,0,411,5,0,1856,2,1,5,8,8,1,5.0,1.0,2010.0,3,834,3.0,3.0,113,0,0.0,0.0,0,394432,1,0,3712
379,379,60.0,8123,6,5,2000,16.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,982,5,0,1800,2,1,3,7,8,1,3.0,1.0,2000.0,2,463,3.0,3.0,100,0,0.0,0.0,0,179000,11,1,2782
380,380,50.0,5000,5,6,1924,0.0,3,3,3.0,3.0,1.0,2.0,218,1.0,0,808,3,0,1691,2,0,4,6,8,1,4.0,1.0,1924.0,1,308,3.0,3.0,0,0,0.0,0.0,0,127000,87,1,2717
381,381,60.0,7200,7,5,2006,0.0,4,3,4.0,4.0,1.0,1.0,0,1.0,0,1293,5,0,1301,3,0,4,5,8,1,4.0,1.0,2006.0,2,572,3.0,3.0,216,0,0.0,0.0,0,187750,5,1,2594
382,382,79.0,9245,7,5,2006,0.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,939,5,0,1797,2,1,4,8,8,0,4.0,1.0,2006.0,2,639,3.0,3.0,144,0,0.0,0.0,0,213500,5,1,2736
383,383,60.0,9000,6,3,1928,0.0,3,3,2.0,2.0,1.0,1.0,0,1.0,0,784,3,0,784,1,0,3,5,8,0,4.0,1.0,1950.0,2,360,2.0,2.0,0,0,0.0,0.0,0,76000,83,1,1568
384,384,69.0,53107,6,5,1992,0.0,4,3,4.0,3.0,3.0,6.0,985,1.0,0,595,5,0,1953,3,1,4,9,8,2,2.0,1.0,1992.0,2,501,3.0,3.0,216,0,0.0,0.0,0,240000,19,1,3533
385,385,43.0,3182,8,5,2004,16.0,4,3,4.0,3.0,1.0,6.0,24,1.0,0,1232,5,0,1269,2,0,4,6,8,1,3.0,1.0,2004.0,2,430,3.0,3.0,146,0,0.0,0.0,0,192000,7,1,2525
386,386,58.0,8410,5,3,1910,0.0,3,2,3.0,3.0,1.0,1.0,0,1.0,0,658,3,0,1184,1,0,3,8,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,81000,101,1,1842
387,387,72.0,7200,6,6,1976,255.0,3,3,3.0,3.0,3.0,5.0,631,1.0,0,410,5,0,1125,2,0,3,6,8,1,2.0,1.0,1977.0,1,352,3.0,3.0,296,0,2.0,2.0,0,125000,35,0,2166
388,388,93.0,9382,7,5,1999,125.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1468,5,0,1479,2,0,4,6,8,0,4.0,1.0,1999.0,2,577,3.0,3.0,120,0,0.0,0.0,0,191000,12,1,2947
389,389,96.0,12474,10,5,2007,272.0,5,3,5.0,3.0,3.0,6.0,1280,1.0,0,402,5,0,2332,3,1,5,9,8,1,5.0,3.0,2008.0,3,846,3.0,3.0,196,0,0.0,0.0,0,426000,4,1,4014
390,390,50.0,8405,5,8,1900,0.0,3,3,3.0,4.0,1.0,3.0,241,4.0,391,229,5,0,1367,2,0,3,7,8,0,4.0,1.0,1978.0,1,384,3.0,3.0,0,0,3.0,3.0,0,119000,111,1,2228
391,391,71.0,12209,6,5,2001,0.0,3,3,5.0,3.0,1.0,5.0,690,1.0,0,114,5,0,1961,3,1,4,7,8,1,3.0,3.0,2001.0,2,560,3.0,3.0,125,0,0.0,0.0,0,215000,10,1,2765
392,392,69.0,8339,5,7,1959,0.0,3,3,4.0,3.0,1.0,4.0,0,1.0,0,0,3,0,882,1,0,3,5,8,0,4.0,1.0,1959.0,1,294,3.0,3.0,0,0,3.0,3.0,1200,106500,52,0,882
393,393,69.0,7446,4,5,1941,0.0,3,3,3.0,3.0,1.0,3.0,266,1.0,0,522,3,0,788,1,0,3,4,8,2,3.0,1.0,1980.0,0,0,3.0,3.0,0,0,2.0,2.0,0,100000,70,0,1576
394,394,60.0,10134,5,6,1940,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,735,4,0,1034,1,0,3,5,8,0,4.0,1.0,1940.0,1,240,3.0,3.0,0,0,0.0,0.0,0,109000,71,1,1769
395,395,68.0,9571,5,6,1956,0.0,3,3,3.0,3.0,3.0,4.0,739,1.0,0,405,3,0,1144,2,0,3,6,8,0,4.0,1.0,1956.0,1,596,3.0,3.0,44,0,0.0,0.0,0,129000,55,0,2288
396,396,60.0,7200,5,5,1972,0.0,3,3,3.0,3.0,3.0,3.0,777,1.0,0,117,3,0,894,1,0,3,6,8,0,4.0,1.0,1985.0,2,600,3.0,3.0,215,0,0.0,0.0,0,123000,39,0,1788
397,397,69.0,7590,5,5,1962,288.0,3,3,3.0,3.0,1.0,5.0,540,1.0,0,324,3,0,1812,2,0,3,8,8,1,3.0,1.0,1962.0,1,264,3.0,3.0,0,0,0.0,0.0,0,169500,49,1,2676
398,398,60.0,8967,5,2,1920,0.0,3,2,2.0,1.0,1.0,1.0,0,1.0,0,961,4,0,1077,1,0,3,6,3,0,4.0,1.0,1920.0,1,338,1.0,1.0,0,0,0.0,0.0,0,67000,91,0,2038
399,399,65.0,8125,7,5,2006,100.0,4,3,4.0,3.0,1.0,6.0,812,1.0,0,280,5,0,1550,3,0,4,7,8,0,4.0,1.0,2007.0,2,438,3.0,3.0,0,0,0.0,0.0,0,241000,5,1,2642
400,400,38.0,14963,8,5,1996,0.0,4,3,4.0,3.0,1.0,6.0,786,1.0,0,474,5,0,1288,2,1,5,4,8,2,4.0,1.0,1996.0,2,500,3.0,3.0,120,0,0.0,0.0,0,245500,15,1,2548
401,401,65.0,8767,7,5,2005,0.0,4,3,4.0,3.0,3.0,6.0,24,1.0,0,1286,5,0,1310,2,0,4,6,8,1,4.0,1.0,2005.0,2,400,3.0,3.0,0,0,0.0,0.0,0,164990,6,0,2620
402,402,60.0,10200,5,8,1940,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,672,5,0,672,1,0,3,4,8,0,4.0,1.0,1940.0,1,240,3.0,3.0,168,0,4.0,4.0,0,108000,71,0,1344
403,403,93.0,12090,8,5,1998,650.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1141,4,0,2263,2,1,4,10,8,1,3.0,3.0,1998.0,2,420,3.0,3.0,144,0,0.0,0.0,0,258000,13,1,3404
404,404,69.0,10364,6,5,1995,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,806,4,0,1572,2,1,3,7,8,1,3.0,3.0,1995.0,2,373,3.0,3.0,0,0,0.0,0.0,0,168000,16,1,2378
405,405,69.0,9991,4,4,1976,0.0,3,3,3.0,3.0,1.0,4.0,1116,1.0,0,165,5,0,1620,3,0,3,8,7,1,3.0,1.0,1993.0,2,490,3.0,3.0,120,0,2.0,2.0,0,150000,35,1,2901
406,406,51.0,10480,6,5,1936,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1064,5,473,1639,1,0,3,6,3,0,4.0,1.0,1936.0,1,240,3.0,3.0,0,0,0.0,0.0,0,115000,75,0,2230
407,407,63.0,15576,6,7,1915,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,840,5,0,1680,2,0,3,8,8,0,4.0,1.0,1960.0,1,308,3.0,3.0,0,0,0.0,0.0,0,177000,96,1,2520
408,408,109.0,14154,7,5,2006,350.0,4,3,5.0,4.0,1.0,1.0,0,1.0,0,1063,5,0,2172,2,1,4,9,8,1,4.0,1.0,2006.0,3,947,3.0,3.0,192,0,0.0,0.0,0,280000,5,1,3235
409,409,85.0,10800,8,5,2007,100.0,4,3,5.0,3.0,1.0,6.0,789,1.0,0,245,5,0,2078,3,1,5,8,8,1,4.0,1.0,2008.0,3,836,3.0,3.0,0,0,0.0,0.0,0,339750,4,1,3112
410,410,68.0,9571,5,3,1958,0.0,3,2,3.0,2.0,1.0,1.0,0,1.0,0,1276,3,0,1276,1,0,3,5,5,0,4.0,1.0,1958.0,1,350,3.0,3.0,0,0,0.0,0.0,0,60000,53,0,2552
411,411,100.0,34650,5,5,1955,0.0,3,3,3.0,3.0,2.0,3.0,1056,1.0,0,0,3,0,1056,2,0,3,5,8,0,4.0,1.0,1955.0,2,572,3.0,3.0,264,0,0.0,0.0,0,145000,56,0,2112
412,412,69.0,4403,7,5,2009,432.0,5,3,5.0,3.0,3.0,6.0,578,1.0,0,892,5,0,1478,3,1,4,7,8,1,4.0,1.0,2009.0,2,484,3.0,3.0,0,0,0.0,0.0,0,222000,2,1,2948
413,413,56.0,8960,5,6,1927,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1008,4,0,1028,1,0,3,5,8,1,4.0,1.0,1927.0,2,360,3.0,3.0,0,0,0.0,0.0,0,115000,84,1,2036
414,414,59.0,11228,7,5,1993,0.0,4,3,4.0,3.0,1.0,4.0,50,6.0,531,499,5,0,2097,2,2,4,9,8,1,3.0,1.0,1993.0,3,678,3.0,3.0,196,0,0.0,0.0,0,228000,18,1,3177
415,415,73.0,8899,7,5,2007,0.0,4,3,4.0,3.0,3.0,6.0,24,1.0,0,1316,5,0,1340,2,0,4,6,8,0,4.0,1.0,2007.0,2,396,3.0,3.0,100,0,0.0,0.0,0,181134,4,1,2680
416,416,74.0,7844,6,7,1978,203.0,3,3,3.0,3.0,1.0,5.0,209,1.0,0,463,3,0,1400,1,1,3,6,8,1,3.0,1.0,1978.0,2,440,3.0,3.0,0,0,0.0,0.0,0,149500,33,0,2072
417,417,86.0,22420,6,6,1918,0.0,3,3,4.0,3.0,1.0,4.0,1128,1.0,0,242,3,0,2624,3,1,3,10,8,1,4.0,1.0,1918.0,3,864,3.0,3.0,0,0,0.0,0.0,0,239000,93,0,3994
418,418,60.0,8160,5,6,1940,0.0,3,3,3.0,3.0,1.0,5.0,312,1.0,0,444,2,0,1134,2,1,3,7,8,0,4.0,1.0,1940.0,1,240,3.0,3.0,0,0,0.0,0.0,0,126000,71,0,1890
419,419,65.0,8450,5,6,1968,0.0,3,3,3.0,3.0,1.0,4.0,775,1.0,0,281,5,0,1056,2,0,3,6,8,1,2.0,1.0,1968.0,1,304,3.0,3.0,0,0,0.0,0.0,0,142000,43,1,2112
420,420,78.0,7060,7,5,1997,200.0,3,4,4.0,4.0,4.0,6.0,1309,1.0,0,35,5,0,1344,4,0,3,8,8,0,4.0,1.0,1997.0,4,784,3.0,3.0,0,0,0.0,0.0,0,206300,14,0,2688
421,421,69.0,16635,6,7,1977,126.0,4,3,4.0,3.0,1.0,5.0,1246,1.0,0,356,4,0,1602,2,1,4,8,8,1,3.0,1.0,1977.0,2,529,3.0,3.0,240,0,0.0,0.0,0,215000,34,0,3204
422,422,100.0,21750,5,5,1954,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,988,5,0,988,1,0,3,4,8,0,4.0,1.0,1954.0,2,520,3.0,3.0,0,0,0.0,0.0,0,113000,57,0,1976
423,423,80.0,9200,8,5,1998,473.0,4,3,4.0,3.0,1.0,6.0,986,1.0,0,484,4,0,2630,3,1,4,8,8,1,3.0,1.0,1998.0,3,696,3.0,3.0,0,0,0.0,0.0,0,315000,13,1,4100
424,424,72.0,9000,6,5,1956,74.0,3,3,4.0,3.0,1.0,2.0,616,1.0,0,580,4,0,1196,2,0,3,6,8,1,4.0,1.0,1956.0,1,297,3.0,3.0,0,0,0.0,0.0,0,139000,55,1,2392
